Depth sed [m],Sample label,Cibicidoides spp. δ18O [‰ PDB],Cibicidoides spp. δ13C [‰ PDB],CaCO3 [%],Lab
13.12,"177-1088B-2-6,12-14",3.55,0.46,85.62,University of Florida
13.17,"177-1088B-2-6,17-19",3.39,0.67,79.47,University of Florida
13.23,"177-1088B-2-6,23-24",4.03,-0.14,87.97,University of Florida
13.27,"177-1088B-2-6,27-29",3.75,0.22,85.65,University of Florida
13.32,"177-1088B-2-6,32-34",4.2,0.4,86.48,University of Florida
13.37,"177-1088B-2-6,37-39",4.13,0.08,87.26,University of Florida
13.42,"177-1088B-2-6,42-44",4.15,0.32,81.56,University of Florida
13.47,"177-1088B-2-6,47-49",4.06,0.04,83.97,University of Florida
13.57,"177-1088B-2-6,57-59",3.87,-0.12,81.14,University of Florida
13.62,"177-1088B-2-6,62-64",3.93,-0.18,81.42,University of Florida
13.67,"177-1088B-2-6,67-69",3.69,0.24,80,University of Florida
13.72,"177-1088B-2-6,72-74",3.37,0.55,82.89,University of Florida
13.77,"177-1088B-2-6,77-79",3.64,0.41,84.95,University of Florida
13.82,"177-1088B-2-6,82-84",3.56,0.69,87.86,University of Florida
13.92,"177-1088B-2-6,92-94",3.04,0.59,87.25,University of Florida
13.97,"177-1088B-2-6,97-99",,,90.67,University of Florida
14.02,"177-1088B-2-6,102-104",3.52,0.8,86.88,University of Florida
14.07,"177-1088B-2-6,107-109",3.03,0.62,90.04,University of Florida
14.12,"177-1088B-2-6,112-114",4,0.01,87.66,University of Florida
14.17,"177-1088B-2-6,117-119",3.83,0.56,84.44,University of Florida
14.22,"177-1088B-2-6,122-124",3.57,0.71,85.29,University of Florida
14.27,"177-1088B-2-6,127-129",3.79,0.26,85.94,University of Florida
14.32,"177-1088B-2-6,132-134",3.82,0.45,85.86,University of Florida
14.35,"177-1088B-2-cc,3-5",3.81,0.27,88.58,University of Florida
14.41,"177-1088B-2-cc,9-11",3.64,0.61,89.35,University of Florida
